hotel,is_canceled,lead_time,stays_in_weekend_nights,stays_in_week_nights,adults,children,babies,meal,country,market_segment,distribution_channel,is_repeated_guest,previous_cancellations,previous_bookings_not_canceled,reserved_room_type,assigned_room_type,booking_changes,deposit_type,agent,company,days_in_waiting_list,customer_type,adr,required_car_parking_spaces,total_of_special_requests,reservation_status,reservation_status_date,stay_length,total_guests,arrival_date
Resort Hotel,0,342,0,0,2,0.0,0,Bed & Breakfast,PRT,Direct,Direct,0,0,0,C,C,3,No Deposit,14.0,169.0,0,Transient,0.0,0,0,Check-Out,2015-01-07,0,2.0,2015-07-01
Resort Hotel,0,737,0,0,2,0.0,0,Bed & Breakfast,PRT,Direct,Direct,0,0,0,C,C,4,No Deposit,14.0,169.0,0,Transient,0.0,0,0,Check-Out,2015-01-07,0,2.0,2015-07-01
Resort Hotel,0,7,0,1,1,0.0,0,Bed & Breakfast,GBR,Direct,Direct,0,0,0,A,C,0,No Deposit,14.0,169.0,0,Transient,75.0,0,0,Check-Out,2015-02-07,1,2.0,2015-07-01
Resort Hotel,0,13,0,1,1,0.0,0,Bed & Breakfast,GBR,Corporate,Corporate,0,0,0,A,A,0,No Deposit,304.0,169.0,0,Transient,75.0,0,0,Check-Out,2015-02-07,1,2.0,2015-07-01
Resort Hotel,0,14,0,2,2,0.0,0,Bed & Breakfast,GBR,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240.0,169.0,0,Transient,98.0,0,1,Check-Out,2015-03-07,2,2.0,2015-07-01
Resort Hotel,0,0,0,2,2,0.0,0,Bed & Breakfast,PRT,Direct,Direct,0,0,0,C,C,0,No Deposit,14.0,169.0,0,Transient,107.0,0,0,Check-Out,2015-03-07,2,2.0,2015-07-01
Resort Hotel,0,9,0,2,2,0.0,0,FB,PRT,Direct,Direct,0,0,0,C,C,0,No Deposit,303.0,169.0,0,Transient,103.0,0,1,Check-Out,2015-03-07,2,2.0,2015-07-01
Resort Hotel,1,85,0,3,2,0.0,0,Bed & Breakfast,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240.0,169.0,0,Transient,82.0,0,1,Canceled,2015-06-05,3,2.0,2015-07-01
Resort Hotel,1,75,0,3,2,0.0,0,Half Board,PRT,Offline TA/TO,TA/TO,0,0,0,D,D,0,No Deposit,15.0,169.0,0,Transient,105.5,0,0,Canceled,,3,2.0,2015-07-01
Resort Hotel,1,23,0,4,2,0.0,0,Bed & Breakfast,PRT,Online TA,TA/TO,0,0,0,E,E,0,No Deposit,240.0,169.0,0,Transient,123.0,0,0,Canceled,,4,2.0,2015-07-01
Resort Hotel,0,35,0,4,2,0.0,0,Half Board,PRT,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,240.0,169.0,0,Transient,145.0,0,0,Check-Out,2015-05-07,4,2.0,2015-07-01
Resort Hotel,0,68,0,4,2,0.0,0,Bed & Breakfast,USA,Online TA,TA/TO,0,0,0,D,E,0,No Deposit,240.0,169.0,0,Transient,97.0,0,3,Check-Out,2015-05-07,4,2.0,2015-07-01
Resort Hotel,0,18,0,4,2,1.0,0,Half Board,ESP,Online TA,TA/TO,0,0,0,G,G,1,No Deposit,241.0,169.0,0,Transient,154.77,0,1,Check-Out,2015-05-07,4,2.0,2015-07-01
Resort Hotel,0,37,0,4,2,0.0,0,Bed & Breakfast,PRT,Online TA,TA/TO,0,0,0,E,E,0,No Deposit,241.0,169.0,0,Transient,94.71,0,0,Check-Out,2015-05-07,4,2.0,2015-07-01
Resort Hotel,0,68,0,4,2,0.0,0,Bed & Breakfast,IRL,Online TA,TA/TO,0,0,0,D,E,0,No Deposit,240.0,169.0,0,Transient,97.0,0,3,Check-Out,2015-05-07,4,2.0,2015-07-01
Resort Hotel,0,37,0,4,2,0.0,0,Bed & Breakfast,PRT,Offline TA/TO,TA/TO,0,0,0,E,E,0,No Deposit,8.0,169.0,0,Contract,97.5,0,0,Check-Out,2015-05-07,4,2.0,2015-07-01
Resort Hotel,0,12,0,1,2,0.0,0,Bed & Breakfast,IRL,Online TA,TA/TO,0,0,0,A,E,0,No Deposit,240.0,169.0,0,Transient,88.2,0,0,Check-Out,2015-02-07,1,2.0,2015-07-01
Resort Hotel,0,0,0,1,2,0.0,0,Bed & Breakfast,FRA,Corporate,Corporate,0,0,0,A,G,0,No Deposit,14.0,110.0,0,Transient,107.42,0,0,Check-Out,2015-02-07,1,2.0,2015-07-01
Resort Hotel,0,7,0,4,2,0.0,0,Bed & Breakfast,GBR,Direct,Direct,0,0,0,G,G,0,No Deposit,250.0,169.0,0,Transient,153.0,0,1,Check-Out,2015-05-07,4,2.0,2015-07-01
Resort Hotel,0,37,1,4,1,0.0,0,Bed & Breakfast,GBR,Online TA,TA/TO,0,0,0,F,F,0,No Deposit,241.0,169.0,0,Transient,97.29,0,1,Check-Out,2015-06-07,5,2.0,2015-07-01
Resort Hotel,0,72,2,4,2,0.0,0,Bed & Breakfast,PRT,Direct,Direct,0,0,0,A,A,1,No Deposit,250.0,169.0,0,Transient,84.67,0,1,Check-Out,2015-07-07,6,2.0,2015-07-01
Resort Hotel,0,72,2,4,2,0.0,0,Bed & Breakfast,PRT,Direct,Direct,0,0,0,D,D,1,No Deposit,250.0,169.0,0,Transient,99.67,0,1,Check-Out,2015-07-07,6,2.0,2015-07-01
Resort Hotel,0,127,2,5,2,0.0,0,Half Board,GBR,Offline TA/TO,TA/TO,0,0,0,D,I,0,No Deposit,115.0,169.0,0,Contract,94.95,0,1,Check-Out,2015-01-07,7,2.0,2015-07-01
Resort Hotel,0,78,2,5,2,0.0,0,Bed & Breakfast,PRT,Offline TA/TO,TA/TO,0,0,0,D,D,0,No Deposit,5.0,169.0,0,Transient,63.6,1,0,Check-Out,2015-08-07,7,2.0,2015-07-01
Resort Hotel,0,48,2,5,2,0.0,0,Bed & Breakfast,IRL,Offline TA/TO,TA/TO,0,0,0,D,D,0,No Deposit,8.0,169.0,0,Contract,79.5,0,0,Check-Out,2015-08-07,7,2.0,2015-07-01
